time,open,high,low,close,tick_count
2025-05-15 01:00:00,32.270,32.293,32.193,32.291,62
2025-05-15 01:15:00,32.263,32.294,32.217,32.230,55
2025-05-15 01:30:00,32.252,32.252,32.114,32.114,73
2025-05-15 01:45:00,32.130,32.187,32.129,32.129,53
2025-05-15 02:00:00,32.152,32.152,32.092,32.135,38
2025-05-15 02:15:00,32.135,32.135,32.048,32.062,80
2025-05-15 02:30:00,32.056,32.068,31.971,32.000,42
2025-05-15 02:45:00,31.995,32.016,31.961,31.995,83
2025-05-15 03:00:00,31.991,32.020,31.905,31.910,65
2025-05-15 03:15:00,31.852,31.905,31.820,31.895,51
2025-05-15 03:30:00,31.926,31.926,31.883,31.888,78
2025-05-15 03:45:00,31.887,31.925,31.855,31.869,99
2025-05-15 04:00:00,31.863,31.884,31.841,31.863,72
2025-05-15 04:15:00,31.863,31.887,31.836,31.836,77
2025-05-15 04:30:00,31.836,31.846,31.796,31.796,73
2025-05-15 04:45:00,31.796,31.806,31.767,31.767,84
2025-05-15 05:00:00,31.767,31.827,31.766,31.794,92
2025-05-15 05:15:00,31.794,31.841,31.775,31.782,83
2025-05-15 05:30:00,31.734,31.764,31.734,31.761,39
2025-05-15 05:45:00,31.772,31.817,31.767,31.816,49
2025-05-15 06:00:00,31.816,31.888,31.816,31.846,37
2025-05-15 06:15:00,31.846,31.895,31.799,31.879,57
2025-05-15 06:30:00,31.879,31.931,31.868,31.906,65
2025-05-15 06:45:00,31.911,31.973,31.910,31.929,67
2025-05-15 07:00:00,31.943,31.971,31.891,31.923,69
2025-05-15 07:15:00,31.922,31.925,31.848,31.860,87
2025-05-15 07:30:00,31.868,31.868,31.695,31.699,81
2025-05-15 07:45:00,31.698,31.797,31.664,31.791,54
2025-05-15 08:00:00,31.791,31.923,31.747,31.923,69
2025-05-15 08:15:00,31.923,31.939,31.876,31.921,77
2025-05-15 08:30:00,31.935,31.935,31.883,31.885,85
2025-05-15 08:45:00,31.885,31.940,31.868,31.913,95
